"Country","total_subscribers","Population","Latitude","Longitude"
"Afghanistan",20400000,38041754,33.93911,67.709953
"Argentina",328500000,44938712,-38.416097,-63.616672
"Australia",1.72e+08,25766605,-25.274398,133.775136
"Bangladesh",13900000,167310838,23.684994,90.356331
"Barbados",41900000,287025,13.193887,-59.543198
"Brazil",1221800000,212559417,-14.235004,-51.92528
"Canada",363900000,36991981,56.130366,-106.346771
"Chile",87200000,18952038,-35.675147,-71.542969
"China",17600000,1397715000,35.86166,104.195397
"Colombia",264500000,50339443,4.570868,-74.297333
"Cuba",46300000,11333483,21.521757,-77.781167
"Ecuador",27700000,17373662,-1.831239,-78.183406
"Egypt",30600000,100388073,26.820553,30.802498
"El Salvador",46100000,6453553,13.794185,-88.89653
"Finland",13200000,5520314,61.92411,25.748151
"France",83900000,67059887,46.227638,2.213749
"Germany",116400000,83132799,51.165691,10.451526
"India",4310600000,1366417754,20.593684,78.96288
"Indonesia",534100000,270203917,-0.789275,113.921327
"Iraq",30200000,39309783,33.223191,43.679291
"Italy",39400000,60297396,41.87194,12.56738
"Japan",189100000,126226568,36.204824,138.252924
"Jordan",6.7e+07,10101694,30.585164,36.238414
"Kuwait",30500000,4207083,29.31166,47.481766
"Latvia",20200000,1912789,56.879635,24.603189
"Malaysia",17700000,32447385,4.210484,101.975766
"Mexico",626900000,126014024,23.634501,-102.552784
"Morocco",14500000,36910560,31.791702,-7.09262
"Netherlands",58100000,17332850,52.132633,5.291266
"Pakistan",155400000,216565318,30.375321,69.345116
"Peru",14400000,32510453,-9.189967,-75.015152
"Philippines",240100000,108116615,12.879721,121.774017
"Russia",407200000,144373535,61.52401,105.318756
"Samoa",13100000,202506,-13.759029,-172.104629
"Saudi Arabia",179100000,34268528,23.885942,45.079162
"Singapore",59700000,5703569,1.352083,103.819836
"South Korea",481700000,51709098,35.907757,127.766922
"Spain",385100000,47076781,40.463667,-3.74922
"Sweden",6.3e+07,10285453,60.128161,18.643501
"Switzerland",19400000,8574832,46.818188,8.227512
"Thailand",386500000,69625582,15.870032,100.992541
"Turkey",91600000,83429615,38.963745,35.243322
"Ukraine",125600000,44385155,48.379433,31.16558
"United Arab Emirates",148200000,9770529,23.424076,53.847818
"United Kingdom",917400000,66834405,55.378051,-3.435973
"United States",7159500000,328239523,37.09024,-95.712891
"Venezuela",31200000,28515829,6.42375,-66.58973
"Vietnam",47800000,96462106,14.058324,108.277199
